"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Implementation of Size-Based Recognition on Automatic Liquid Filling Machine Using Canny-Edge Detection Method","M. N. Ramadani; N. Rokhman; K. Sandi; A. S. Milah; L. Kamelia; I. S. Habibuloh","Department of Electrical Engineering, UIN Sunan Gunung Djati Bandung, Bandung, Indonesia; Department of Electrical Engineering, UIN Sunan Gunung Djati Bandung, Bandung, Indonesia; Department of Electrical Engineering, UIN Sunan Gunung Djati Bandung, Bandung, Indonesia; Department of Electrical Engineering, UIN Sunan Gunung Djati Bandung, Bandung, Indonesia; Department of Electrical Engineering, UIN Sunan Gunung Djati Bandung, Bandung, Indonesia; Department of Electrical Engineering, UIN Sunan Gunung Djati Bandung, Bandung, Indonesia","2023 9th International Conference on Wireless and Telematics (ICWT)","11 Dec 2023","2023","","","1","6","liquid filling in small industries is often filled manually into containers, resulting in the liquid being poured into the container inaccurately, making it inefficient in cost and time. This paper proposes an edge detection method to automatically detect objects based on the size of 2 bottles for filling machines in soap liquid. The proposed process involves image processing stages using edge detection and filling machine control stages. The results showed that. The use of Dilated and Erode Image operations also helps to improve the detection and segmentation of 2 bottle sizes accurately. The detected bottle sizes are 10ml and 20ml, with 10ml being 5.4cm high and 2.0cm wide and 20ml being 7.7cm tall and 3.3cm wide. By examining the overall performance of the filling machine, this study proves that edge detection based on object size is a practical and essential approach in machine vision. The proposed edge detection method has great potential to improve the quality of segmentation and object detection in various image processing applications.","2769-8289","979-8-3503-0502-9","10.1109/ICWT58823.2023.10335433","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10335433","edge detection method;filling machine object detection;image processing;segmentation","Wireless communication;Image segmentation;Liquids;Machine control;Image edge detection;Image processing;Process control","","","","14","IEEE","11 Dec 2023","","","IEEE","IEEE Conferences"
"Research of Automatic Engine Assembly System Based on Industrial Robot","Z. Feng; L. Dang; X. Wang","Beijing Polytechnic, Beijing, China; Beijing Innovation Center for Mobility Intelligent Co., Ltd, Beijing, China; Beijing Polytechnic, Beijing, China","2023 IEEE 3rd International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)","6 Jul 2023","2023","3","","156","160","Green, intelligent and customized are opportunities and challenges for the development and transformation of high-end equipment manufacturing industry. It has been applied in the field of intelligent assembly and inspection. As the core part of automobile, the assembly line of engine has realized the basic automation, but most of them are assisted by human. There are some problems such as low assembly precision, low efficiency, high labor cost and labor intensity. According to this, this paper independently developed the engine automatic assembly workstation based on industrial robot. The workstation combined with the engine oil pan gluing and material grasping and handling AGV car, realized the automatic assembly of engine crankshaft connecting rod and valve mechanism, automatic coating detection of oil pan, automatic delivery of workpiece, etc., which improved the intelligent and customized ability of engine assembly line. It can meet the assembly requirements of different types of engines, and has the significance of application and promotion.","","978-1-6654-9079-5","10.1109/ICIBA56860.2023.10165288","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10165288","industrial robot;engine;Crankshaft connecting rod;Automatic gluing","Manufacturing industries;Service robots;Oils;Inspection;Industrial robots;Valves;Workstations","","","","7","IEEE","6 Jul 2023","","","IEEE","IEEE Conferences"
"Reconstruction of As-is Semantic 3D Models of Unorganised Storehouses","A. Adan; D. De La Rubia","3D Visual Computing and Robotics Lab., Castilla La Mancha University, Ciudad Real, Spain; 3D Visual Computing and Robotics Lab., Castilla La Mancha University, Ciudad Real, Spain","2019 International Conference on 3D Vision (3DV)","31 Oct 2019","2019","","","367","375","Very little research into the automated monitoring of unorganised stores has been developed to date. 80% of current warehouses are manually operated, but only 5% are totally automated. The work presented in this paper contributes with a new point of view regarding the store monitoring field related to the reconstruction of semantic 3D models of indoor scenes. Our system collects dense coloured points of the scene from different positions of a 3D laser scanner. Firstly, the accumulated point cloud is segmented into merchandise points and building-structure points using the MLSAC algorithm. The merchandise points are again segmented and classified according to a particular object model database. The system has been trained using a supervised learning algorithm with patterns based on the shape and colour of the merchandise object. The output is a 3D semantic model of the scene in which the recognised objects are placed in precise positions. An assessment of the storehouse in terms of stock, occupied/non-occupied volumes and a suggestion of the placement of new incoming packages is also carried out. The scanning platform is composed of a mobile robot carrying a 3D laser scanner and a DLSR camera that follows a pre-established path for each specific scenario. This approach has been tested with real data and evaluated against a ground-truth model in simulated scenarios, and has been shown to provide high recognition rates and low positioning errors.","2475-7888","978-1-7281-3131-3","10.1109/3DV.2019.00048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8885868","3D Reconstruction;3D Modeling;Object recognition","Three-dimensional displays;Image color analysis;Solid modeling;Semantics;IEEE merchandise;Classification algorithms;Monitoring","","","","17","IEEE","31 Oct 2019","","","IEEE","IEEE Conferences"
"DDoS Attacks on Smart Manufacturing Systems: A Cross-Domain Taxonomy and Attack Vectors","F. Zahid; G. Funchal; V. Melo; M. M. Y. Kuo; P. Leitao; R. Sinha","Computer Science and Software Engineering Department, Auckland University of Technology, Auckland, New Zealand; Research Centre in Digitalization and Intelligent Robotics (CeDRI), Instituto Politecnico de Braganca, Braganca, Portugal; Research Centre in Digitalization and Intelligent Robotics (CeDRI), Instituto Politecnico de Braganca, Braganca, Portugal; Computer Science and Software Engineering Department, Auckland University of Technology, Auckland, New Zealand; Research Centre in Digitalization and Intelligent Robotics (CeDRI), Instituto Politecnico de Braganca, Braganca, Portugal; Computer Science and Software Engineering Department, Auckland University of Technology, Auckland, New Zealand","2022 IEEE 20th International Conference on Industrial Informatics (INDIN)","15 Dec 2022","2022","","","214","219","Denial of Service is a significant availability threat in Industrial Cyber-Physical systems and smart manufacturing is not an exception. The types, methods, and duration of these attacks have been evolving rapidly and their number has increased dramatically, reaching a new record in history. In particular, digitisation of the manufacturing process and increased connectivity have created a battleground between product quality of service and threats associated with cross-domains and multi-vector attacks that affect the manufacturing system performance. The existing research on cyber-threats related to smart manufacturing system does not consider the comprehensive landscape of denial of service attacks. In this study, we classify well-accepted (distributed) denial of service attacks according to a proposed taxonomy, focusing on both the multi-vector attacks and cross-domain attacks. Utilising the taxonomy, more than fifty different denial of service attacks on smart manufacturing system were classified in terms of Endpoint and Network (distributed) denial of service attacks. As an example, a Cyber-Physical Conveyor System was used to examine the proposed taxonomy.","","978-1-7281-7568-3","10.1109/INDIN51773.2022.9976172","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9976172","Industrial Cyber-Physical System;Denial of Service;cross-domain attack;smart manufacturing systems","Manufacturing processes;Simulation;Taxonomy;Product design;Quality assessment;Personnel;History","","","","38","IEEE","15 Dec 2022","","","IEEE","IEEE Conferences"
"A Low-Code Approach for Data View Extraction from Engineering Models with GraphQL","I. Koren; N. Jansen; J. Michael; B. Rumpe; E. Böse","Process and Data Science, RWTH Aachen University; Software Engineering, RWTH Aachen University; Software Engineering, RWTH Aachen University; Software Engineering, RWTH Aachen University; RWTH Aachen University","2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)","22 Dec 2023","2023","","","888","892","Access to data for analysis and control tasks is at the heart of digitization efforts in the manufacturing industry. While sophisticated modeling languages like SysML describe systems and their components, data often ends up in purpose-built relational and time series databases. To generate value, information must be retrieved and integrated from multiple sources. In this paper, we propose an innovative method for leveraging SysML engineering models and database queries by combining them in a collaborative low-code web environment. First, we make heterogeneous databases available via GraphQL, a state-of-the-art approach for building Web APIs. Then, our web application enables domain experts to exploit containment relations in SysML models to connect diverse data sources. The outcome is an integrated GraphQL API that matches the engineering model structures by resembling views across multiple database sources. The discussed approach incorporates the benefits of data-oriented development and low-code platforms beyond the business automation domain.","","979-8-3503-2498-3","10.1109/MODELS-C59198.2023.00139","Deutsche Forschungsgemeinschaft (DFG, German Research Foundation)(grant numbers:390621612); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350817","Low-Code;Data Integration;Data-Driven Applications;Manufacturing;Industry 4.0;Model-Driven Software Engineering;SysML;Engineering Models","Manufacturing industries;Heart;Databases;Soft sensors;Time series analysis;Collaboration;Data models","","","","26","IEEE","22 Dec 2023","","","IEEE","IEEE Conferences"
"Research on urban open space behavior extraction based on semantic segmentation technology","X. Liu; C. Li; Y. Chen","School of Architecture and Urban Design, Shenyang Jianzhu University, Shenyang, China; School of Architecture and Urban Design, Shenyang Jianzhu University, Shenyang, China; School of Architecture and Urban Design, Shenyang Jianzhu University, Shenyang, China","2022 3rd International Conference on Computer Vision, Image and Deep Learning & International Conference on Computer Engineering and Applications (CVIDL & ICCEA)","18 Jul 2022","2022","","","921","925","Using semantic segmentation technology based on a convolutional neural network (CNN) environment, urban open space orthophotos with typical feature segments collected by UAVs are used as the basis of neural network training data, and the U-net semantic segmentation algorithm research framework is used to import remotely sensed images into the algorithm model, encode the data with characterization, strengthen its behavioral features, and finally output the data with behavioral feature information This is used to build a training set of behavioral elements of the urban open space environment. Based on this training set, the training set can be used to classify and identify urban open spaces with similar environmental characteristics, thus quickly building a digital information model of environmental behavior elements in urban open spaces, improving the digital efficiency of environmental behavior research and saving a lot of time and cost for subsequent analysis.","","978-1-6654-5911-2","10.1109/CVIDLICCEA56201.2022.9824593","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9824593","neural network;semantic segmentation;behavior","Training;Image segmentation;Machine learning algorithms;Semantics;Neural networks;Training data;Computer architecture","","","","4","IEEE","18 Jul 2022","","","IEEE","IEEE Conferences"
"STEM Education, a Powerful Tool on Industry 4.0","J. Montesdeoca; F. Rivera","Robotics and Automation GI-RA, Universidad Politécnica Salesiana, Cuenca, Ecuador; Bioética en la Investigación GI-BI, Universidad Politécnica Salesiana, Cuenca, Ecuador","2023 IEEE World Engineering Education Conference (EDUNINE)","21 Apr 2023","2023","","","1","4","This document presents a brief review of the science, technology, engineering, and math skills, and how they are related to increasing the capabilities of future industry workers. Furthermore, important aspects of Industry 4.0 required in this new industrial revolution are addressed. Finally, a discussion about various aspects involved in Industry 4.0 that could improve through STEM Education is presented.","","979-8-3503-2050-3","10.1109/EDUNINE57531.2023.10102824","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10102824","STEM Education;Industry 4.0;IIoT;Smart Factory","Knowledge engineering;Industries;Collaboration;Companies;Production facilities;Fourth Industrial Revolution;Engineering education","","","","26","IEEE","21 Apr 2023","","","IEEE","IEEE Conferences"
"Chipless RFID Systems Using Advanced Artificial Intelligence","L. Arjomandi",NA,"Chipless RFID Systems Using Advanced Artificial Intelligence","","2023","","","","","This book shows you how to develop a hybrid mm-wave chipless Radio Frequency Identification (RFID) system, which includes chip-less tag, reader hardware, and detection algorithm that use image processing and machine learning (ML) techniques. It provides the background and information you need to apply the concepts of AI into detection and chip-less tag signature printable on normal plastic substrates, instead of the conventional peak/nulls in the frequency tags. You’ll learn how to incorporate new AI detection techniques along with cloud computing to lower costs. You’ll also be shown a cost-effective means of image construction, which can lower detection errors. The book focuses on side-looking-aperture-radar (SLAR) with a combination of deep learning to provide a much safer means of chipless detection than the current iSAR technique, and includes extensive coverage of reader array antennas, beamforming, and MIMO. Each chapter includes practical examples of design. With its emphasis on mm-waveband and the practical side of design and engineering of the chipless tags, reader and detection algorithms, this is an excellent resource for industry engineers, design engineers and university researchers.","","9781630819491","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10040267.pdf&bkn=10040266&pdfType=book","","","","","","","","7 Feb 2023","","","Artech","Artech Books"
"Binarization Using Morphological Decomposition Followed by cGAN","C. -P. Hsieh; S. -K. Lee; Y. -Y. Liao; R. -J. Huang; J. -H. Wang","Department of Elec. Eng., National Taiwan Ocean University, Keelung 202, Taiwan; Department of Elec. Eng., National Taiwan Ocean University, Keelung 202, Taiwan; Department of Elec. Eng., National Taiwan Ocean University, Keelung 202, Taiwan; Department of Elec. Eng., National Taiwan Ocean University, Keelung 202, Taiwan; Department of Elec. Eng., National Taiwan Ocean University, Keelung 202, Taiwan","2019 IEEE International Conference on Artificial Intelligence and Virtual Reality (AIVR)","27 Dec 2019","2019","","","208","2083","This paper presents a novel binarization scheme for stained decipherable patterns. First, the input image is downsized, which not only saves the computation time, but the key features necessary for the successful decoding is preserved. Then, high or low contrast areas are decomposed by applying morphological operators to the downsized gray image, and subtracting the two resulting output images from each other. If necessary, these areas are further subjected to decomposition to obtain finer separation of regions. After the preprocessing, the binarization can be done either by GMM to estimate a binarization threshold for each region, or the binarization problem is treated as an image-translation task and hence the conditional generative adversarial network (cGAN) is trained using the high or low contrast areas as conditional inputs.","","978-1-7281-5604-0","10.1109/AIVR46125.2019.00044","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8942258","morphology, binarization, image downsizing, gaussian mixture model, deep learning, cGAN","Training;Generative adversarial networks;Oceans;Gray-scale;Thresholding (Imaging);Generators;Decoding","","","","8","IEEE","27 Dec 2019","","","IEEE","IEEE Conferences"
"Digital Twins, Didactic Strategy for Teaching Industrial Automation","L. F. R. Riveros; V. H. B. Tristancho; J. E. S. Sanabria; H. D. V. Amado","ECCI University, Bogotá, Colombia; ECCI University, Bogotá, Colombia; ECCI University, Bogotá, Colombia; ECCI University, Bogotá, Colombia","2022 Congreso de Tecnología, Aprendizaje y Enseñanza de la Electrónica (XV Technologies Applied to Electronics Teaching Conference)","9 Aug 2022","2022","","","1","4","A digital twin is a graphical representation of a virtual model in an industrial-scale production process used to analyze and forecast the profitability characteristics of its physical or real equal. This model of virtual and physical spaces allows students to analyze data and check systems in such a way that it is possible to predict problems originating within a system, as well as expect machine downtime, and develop new strategies in planning and production system designs. through simulations of normal production states, breakdowns, and machine stops.","2766-2616","978-1-6654-2161-4","10.1109/TAEE54169.2022.9840602","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9840602","Digital twin;automation;didactics;technological innovation;industrial internet of things IIOT","Analytical models;Production systems;Profitability;Electric breakdown;Education;Predictive models;Data models","","","","8","IEEE","9 Aug 2022","","","IEEE","IEEE Conferences"
"Magnetic Sensors and Magnetometers, Second Edition","P. Ripka",NA,"Magnetic Sensors and Magnetometers, Second Edition","","2021","","","","","This completely updated second edition of an Artech House classic covers industrial applications and space and biomedical applications of magnetic sensors and magnetometers. With the advancement of smart grids, renewable energy resources, and electric vehicles, the importance of electric current sensors increased, and the book has been updated to reflect these changes. Integrated fluxgate single-chip magnetometers are presented. GMR sensors in the automotive market, especially for end-of-shaft angular sensors, are included, as well as Linear TMR sensors. Vertical Hall sensors and sensors with integrated ferromagnetic concentrators are two competing technologies, which both brought 3-axial single-chip Hall ICs, are considered. Digital fluxgate magnetometers for both satellite and ground-based applications are discussed. All-optical resonant magnetometes, based on the Coherent Population Trapping effect, has reached approval in space, and is covered in this new edition of the book. Whether you're an expert or new to the field, this unique resource offers you a thorough overview of the principles and design of magnetic sensors and magnetometers, as well as guidance in applying specific devices in the real world. The book covers both multi-channel and gradiometric magnetometer systems, special problems such as cross-talk and crossfield sensitivity, and comparisons between different sensors and magnetometers with respect to various application areas. Miniaturization and the use of new materials in magnetic sensors are also discussed. A comprehensive list of references to journal articles, books, proceedings and webpages helps you find additional information quickly.","","9781630817435","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9538839.pdf&bkn=9538838&pdfType=book","","","","","","","","15 Sep 2021","","","Artech","Artech Books"
"Integrating CPS into Socio-Technical Systems","J. Jost; T. Kirks","Automation and Embedded Systems, Fraunhofer Institute for Material Flow and Logistics (IML), Dortmund, Germany; Automation and Embedded Systems, Fraunhofer Institute for Material Flow and Logistics (IML), Dortmund, Germany","2019 4th Asia-Pacific Conference on Intelligent Robot Systems (ACIRS)","19 Dec 2019","2019","","","129","133","While nowadays machines, robots and other technical entities become more intelligent and the need of flexible as well as more efficient manufacturing and logistics systems is growing, the human worker is not yet an integrated part of these new emerging systems. Besides exposing the human to a vast amount of data, new collaborative work forms within these mainly decentralized systems are still missing. This article introduces a hierarchy of design levels for socio-technical systems, which emphasizes on the adaptivity of intelligent technical entities represented in a multi-agent system. Furthermore, the focus lies on possible natural depictions of information.","","978-1-7281-2229-8","10.1109/ACIRS.2019.8936007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8936007","Human-Robot Interaction;Socio-Technical System;Cyber-Physical System;Multi-Agent System;Social Networked Industry;User Interface","Sociotechnical systems;Robots;Cyber-physical systems;Logistics;Multi-agent systems;Industries","","","","21","IEEE","19 Dec 2019","","","IEEE","IEEE Conferences"
"E-Waste Recycling Gets Smarter with Digitalization","N. A. Baker; J. Stehr; U. Handmann","Computer Science Department, Ruhr West University of Applied Sciences, Bottrop, Germany; Electronic Engineering Department, Technical University Dortmund Dortmund, Germany; Computer Science Department, Ruhr West University of Applied Sciences, Bottrop, Germany","2023 IEEE Conference on Technologies for Sustainability (SusTech)","23 May 2023","2023","","","205","209","Many of us have defective electrical devices in storerooms or drawers. Recycling electrical and electronic waste (E-waste) allows for reusing the original materials rather than mining new ones, especially if they are considered Rare Earth Elements. It is critical to separate and sort E-waste before recycling, which can be economically viable for products containing valuable metals and materials. Identification of the device and all related information will greatly support pre-dismantling. This work proposes a pipeline and automated system to identify the device using several techniques: artificial intelligence for device classification into device type, brand and model, multi-sensors for identifying internal components like Infrared or X-ray, a web crawler for creating image datasets using keywords from search engines, and a web scraper for retrieving device specifications, like dimensions, battery type, visual data, available colours, etc.","","979-8-3503-4548-3","10.1109/SusTech57309.2023.10129536","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10129536","E-waste;artificial intelligence;transfer learning;web crawler;web scrapper;multi-sensors","Visualization;Costs;Crawlers;Transfer learning;Electronic waste;Streaming media;Recycling","","","","18","IEEE","23 May 2023","","","IEEE","IEEE Conferences"
"7 Pharmaceutical Packaging: New Impulse through Artificial Intelligence","O. Smriti; A. Anubhav; S. Manoj; M. Sudhanshu; D. Kamal","Department of Pharmaceutical Science and Technology, Madan Mohan Malviya University of Technology, India; Department of Pharmaceutics, Hygia Institute of Pharmaceutical Education and Research, India; Department of General Medicine, All India Institute of Medical Science, India; Department of Pharmaceutical Science & Technology, Madan Mohan Malaviya University of Technology, India; Faculty of Health, Australian Research Centre in Complementary and Integrative Medicine, University of Technology, Sydney, Australia","Pharmaceutical Industry 4.0: Future, Challenges & Application","","2023","","","187","212","The pharmaceutical industry is on the cusp of a new age, with the need for personalized therapy, more complex production processes, smaller batch sizes and rising manufacturing costs. It is necessary to continuously adapt to the rapidly changing environment using novel technology and improved operational efficiency and flexibility. To achieve this, intelligent manufacturing seems to be a definite answer. Pharma 4.0 is a framework for adapting digital strategies to the unique contexts of pharmaceutical manufacturing. This book provides a deep insight into key technologies that will modernize pharmaceutical manufacturing and facilitate digital transformation. Throughout the book we discuss technologies, application and challenges for applying digital technology in pharmaceutical industry, including: • Focus on an overview of Industry 4.0 and its application in the pharmaceutical field • Most recent advances in the pharmaceutical industry • Understanding the concepts of emerging technology trends for drug discovery.","","9788770228787","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10217092.pdf&bkn=10217090&pdfType=chapter","","","","","","","","14 Aug 2023","","","River Publishers","River eBook Chapters"
"Didactic Design of a Remote Collaborative Robotics Laboratory","L. Kobras; B. Meussen; M. Soll","NORDAKADEMIE gAG Hochschule der Wirtschaft, Elmshorn, Germany; NORDAKADEMIE gAG Hochschule der Wirtschaft, Elmshorn, Germany; NORDAKADEMIE gAG Hochschule der Wirtschaft, Elmshorn, Germany","2023 IEEE 2nd German Education Conference (GECon)","31 Oct 2023","2023","","","1","6","Remote laboratories are a useful mean to improve access of students to laboratory infrastructure. This paper describes the steps taken in designing and implementing a educational laboratory for teaching collaborative robotics technology. First, background knowledge about collaborative robotics, didactic characteristics of laboratory education, as well as competence based teaching and learning is presented. Next, learning outcomes based on Bloom and technical requirements are determined. After that, principles in our laboratory design are laid out. Finally, A small trial run of a Master's course adhering to the concepts and principles laid out herein is presented. The course concept is intended for application in engineering and CS curricula. A first non-course-specific evaluation shows promising results; a large scale evaluation of the laboratory is currently in it's design phase and will be conducted in winter 2023.","","979-8-3503-4813-2","10.1109/GECon58119.2023.10295126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10295126","Curriculum development;laboratory education;learning outcomes;STEM education;higher education","Technical requirements;Remote laboratories;Educational robots;Service robots;Education;Collaboration;Industrial engineering","","","","20","IEEE","31 Oct 2023","","","IEEE","IEEE Conferences"
"Research on the Construction of Integrated Intelligent Storage System Based on Unmanned Intelligent Technology","C. Zhai; Z. Gong; D. Ye; Z. Liu; Y. Kang; C. Yang","Department of Quartermaster Procurement, Army Logistics University of PLA, Chongqing, China; Department of Quartermaster Procurement, Army Logistics University of PLA, Chongqing, China; Department of Quartermaster Procurement, Army Logistics University of PLA, Chongqing, China; Basic Course Department, Army Logistics University of PLA, Chongqing, China; Department of Quartermaster Procurement, Army Logistics University of PLA, Chongqing, China; Department of Military Installations, Army Logistics University of PLA, Chongqing, China","2022 2nd International Conference on Robotics, Automation and Artificial Intelligence (RAAI)","10 Apr 2023","2022","","","172","177","With the rapid development of modern logistics, many new technologies have been mature and applied in social enterprises. They have developed from conventional flat warehouses to various types of automated warehouses, and are developing in the direction of intelligence and Internet. On the one hand, the intelligent storage system should meet the requirements of reliability and stability, on the other hand, it needs to be automated, intelligent and Internet-based. By discussing the development status of unmanned intelligent storage, this paper puts forward the construction objectives and ideas of intelligent storage system, and describes the workflow of storage system based on unmanned technology. This achievement will greatly improve the efficiency of daily warehousing operation, greatly reduce labor intensity, improve the scientific level of warehousing system management and decision-making, greatly improve the ability of rapid, continuous and accurate guarantee of warehousing system, and play an important role in building China’s modern logistics guarantee system.","","978-1-6654-5944-0","10.1109/RAAI56146.2022.10092990","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10092990","unmanned intelligent;intelligent storage system;automatic sorting","Industries;Information resources;Service robots;Intelligent materials;Warehousing;Reliability;Internet of Things","","","","12","IEEE","10 Apr 2023","","","IEEE","IEEE Conferences"
"The Art of Manufacturing: Overcome control challenges for increasing efficiency in manufacturing using real-world examples","N. Deshpande; S. Pothukuchi",NA; NA,"The Art of Manufacturing: Overcome control challenges for increasing efficiency in manufacturing using real-world examples","","2023","","","","","Demystify automation and solve control-related problems with the help of real-world products and case studies put together by two industrial automation expertsKey FeaturesReal life applications and case studies of automation curated from authors rich experienceOvercome tricky automation and control issues in the manufacturing processImplement automation in manufacturing for higher efficiency and productivity in the industryBook DescriptionEngineering disciplines focus mainly on programming control systems, while the challenges they overcome or their industry applications largely go uncovered, leaving a huge gap between the theory and industry practices. This leads to engineers learning about subjects without actually understanding their purpose and entering the industry needing months of training. The Art of Manufacturing cuts across pedantic theory and reaches practical applications. You’ll begin your learning journey by starting from the product and moving backward to the manufacturing landscape, factories, machines, and finally to the automation and control challenges faced in manufacturing. The book builds on the authors’ valuable on-field experience, providing a detailed view of the manufacturing of real-world products, while simultaneously providing various analogies and references to daily tasks. As you advance through the chapters, you’ll work on interesting control problems and find out how to overcome them in applications. The concluding chapters offer you a sneak peek into the future of automation and factories. By the end of this book, you’ll be able to relate a real-world product with an associated control challenge and discover ways to overcome these challenges.What you will learnUnderstand the role of machines, factories, and plants in manufacturing a productExplore the manufacturing landscape and its continuous evolutionUse practical applications to mitigate control challenges in manufacturingResolve implementation challenges of various applications in a machineDiscover how humans and automation work together in factoriesFind out how to solve the same control challenge in different waysDiscover links between Industry 3.0, Industry 4.0, digitalization, and lean manufacturingWho this book is forThe book will interest an inquisitive student of engineering (electrical, electronics, mechatronics, E&TC) who wishes to explore beyond the classroom textbook content. It will also serve as a teacher’s handbook helping the lecturer bring the flair of industry into the classroom. Moreover, it will be useful for a practicing engineer, with cross-disciplinary knowledge that is needed to manufacture any real product. You must have basic knowledge of electronics, electrical, and mechatronics (engineering).","","9781804611579","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162345.pdf&bkn=10162344&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Industrial IoT for Architects and Engineers: Architecting secure, robust, and scalable industrial IoT solutions with AWS","J. Bernal; B. Sridhar",NA; NA,"Industrial IoT for Architects and Engineers: Architecting secure, robust, and scalable industrial IoT solutions with AWS","","2023","","","","","Go beyond connecting services to understand the unique challenges encountered in industrial environments by building Industrial IoT architectures using AWS Purchase of the print or kindle book includes a free eBook in the PDF formatKey FeaturesUnderstand the key components of IoT Architecture and how it applies to Industry 4.0Walk through extensive examples and solutions across multiple IndustriesLearn how to collect, process, store, and analyse Industrial IoT dataBook DescriptionWhen it comes to using the core and managed services available on AWS for making decisions about architectural environments for an enterprise, there are as many challenges as there are advantages. This Industrial IoT book follows the journey of data from the shop floor to the boardroom, identifying goals and aiding in strong architectural decision-making. You’ll begin from the ground up, analyzing environment needs and understanding what is required from the captured data, applying industry standards and conventions throughout the process. This will help you realize why digital integration is crucial and how to approach an Industrial IoT project from a holistic perspective. As you advance, you’ll delve into the operational technology realm and consider integration patterns with common industrial protocols for data gathering and analysis with direct connectivity to data through sensors or systems. The book will equip you with the essentials for designing industrial IoT architectures while also covering intelligence at the edge and creating a greater awareness of the role of machine learning and artificial intelligence in overcoming architectural challenges. By the end of this book, you’ll be ready to apply IoT directly to the industry while adapting the concepts covered to implement AWS IoT technologies.What you will learnDiscover Industrial IoT best practices and conventionsUnderstand how to get started with edge computingDefine and build IoT solution architectures from scratchUse AWS as the core of your solution platformApply advanced analytics and machine learning to your dataDeploy edge processing to react in near real time to events within your environmentWho this book is forThis book is for architects, engineers, developers, and technical professionals interested in building an edge and cloud-based Internet of Things ecosystem with a focus on industry solutions. Since the focus of this book is specifically on IoT, a solid understanding of core IoT technologies and how they work is necessary to get started. If you are someone with no hands-on experience, but are familiar with the subject, you’ll find the use cases useful to learn how architectural decisions are made.","","9781803246192","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162129.pdf&bkn=10162128&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
