Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Advances in Design, Simulation and Manufacturing","Lecture Notes in Mechanical Engineering","","","","10.1007/978-3-319-93587-4","Vitalii IvanovYiming RongJustyna TrojanowskaJoachim VenusOleksandr LiaposhchenkoJozef ZajacIvan PavlenkoMilan EdlDragan Perakovic","2019","http://link.springer.com/book/10.1007/978-3-319-93587-4","Book"
"Updating Case Studies and Practical Insights","Closed Loop Management in Mineral Resource Extraction","","","","10.1007/978-3-030-40900-5_4","Prof. Dr. Jörg Benndorf","2020","http://link.springer.com/chapter/10.1007/978-3-030-40900-5_4","Chapter"
"Emerging Technologies in Manufacturing","","","","","10.1007/978-3-031-23156-8","Matthew N. O. SadikuAbayomi J. Ajayi-MajebiPhilip O. Adebo","2023","http://link.springer.com/book/10.1007/978-3-031-23156-8","Book"
"Green Technological Innovation for Sustainable Smart Societies","","","","","10.1007/978-3-030-73295-0","Chinmay Chakraborty","2021","http://link.springer.com/book/10.1007/978-3-030-73295-0","Book"
"Proceedings of the Canadian Society of Civil Engineering Annual Conference 2021","Lecture Notes in Civil Engineering","","","","10.1007/978-981-19-0968-9","Scott WalbridgeMazdak Nik-BakhtKelvin Tsun Wai NgManas ShomeM. Shahria AlamAshraf el DamattyGordon Lovegrove","2023","http://link.springer.com/book/10.1007/978-981-19-0968-9","Book"
"The Challenge of Sustainability in Agricultural Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-73097-0","Prof. Dr. Aleksei V. Bogoviz","2021","http://link.springer.com/book/10.1007/978-3-030-73097-0","Book"
"Resource Model Updating and Optimization for Real-Time Mining","Yearbook of Sustainable Smart Mining and Energy 2021","","","","10.1007/978-3-030-84315-1_10","Jörg Benndorf","2022","http://link.springer.com/chapter/10.1007/978-3-030-84315-1_10","Chapter"
"Computer Vision, Imaging and Computer Graphics Theory and Applications","Communications in Computer and Information Science","","","","10.1007/978-3-030-94893-1","Kadi BouatouchA. Augusto de SousaManuela ChessaAlexis PaljicAndreas KerrenChristophe HurterGiovanni Maria FarinellaPetia RadevaJose Braz","2022","http://link.springer.com/book/10.1007/978-3-030-94893-1","Book"
"Company Profiles","Masterpieces of Swiss Entrepreneurship","","","","10.1007/978-3-030-65287-6_26","Jean-Pierre JeannetThierry VoleryHeiko BergmannCornelia Amstutz","2021","http://link.springer.com/chapter/10.1007/978-3-030-65287-6_26","Chapter"
"A Comprehensive Approach to Digital Manufacturing","Synthesis Lectures on Mechanical Engineering","","","","10.1007/978-3-031-25354-6","Arif SirinterlikciYalcin Ertekin","2023","http://link.springer.com/book/10.1007/978-3-031-25354-6","Book"
"Advances in Automotive Production Technology – Theory and Application","ARENA2036","","","","10.1007/978-3-662-62962-8","Dr. Philipp WeißgraeberDr. Frieder HeieckDr. Clemens Ackermann","2021","http://link.springer.com/book/10.1007/978-3-662-62962-8","Book"
"Learning, Design, and Technology","","","","","10.1007/978-3-319-17461-7","J. Michael SpectorBarbara B. LockeeMarcus D. Childress","2023","http://link.springer.com/referencework/10.1007/978-3-319-17461-7","ReferenceWork"
"Inventive Computation and Information Technologies","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-7402-1","S. SmysKhaled A. KamelRam Palanisamy","2023","http://link.springer.com/book/10.1007/978-981-19-7402-1","Book"
"Smart Technologies in Urban Engineering","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-46874-2","Olga ArsenyevaTetyana RomanovaMaria SukhonosIhor BiletskyiYevgen Tsegelnyk","2023","http://link.springer.com/book/10.1007/978-3-031-46874-2","Book"
"Recent Advances in Industrial Production","Lecture Notes in Mechanical Engineering","","","","10.1007/978-981-16-5281-3","Rajeev AgrawalJinesh Kumar JainVinod Singh YadavVijaya Kumar ManupatiLeonilde Varela","2022","http://link.springer.com/book/10.1007/978-981-16-5281-3","Book"
"Introduction to Electronic Commerce and Social Commerce","Springer Texts in Business and Economics","","","","10.1007/978-3-319-50091-1","Efraim TurbanJudy WhitesideDavid KingJon Outland","2017","http://link.springer.com/book/10.1007/978-3-319-50091-1","Book"
"Technological Sustainability and Business Competitive Advantage","Internet of Things","","","","10.1007/978-3-031-35525-7","Muneer Al MubarakAllam Hamdan","2023","http://link.springer.com/book/10.1007/978-3-031-35525-7","Book"
"Recent Advances in Mechanical Engineering","Lecture Notes in Mechanical Engineering","","","","10.1007/978-981-19-2188-9","Gaurav ManikSusheel KaliaOm Prakash VermaTarun K. Sharma","2023","http://link.springer.com/book/10.1007/978-981-19-2188-9","Book"
"The Internet of Things","","","","","10.1007/978-3-662-54904-9","Ulrich Sendler","2018","http://link.springer.com/book/10.1007/978-3-662-54904-9","Book"
"Design of Modular Re-configurable Robotic System for Construction and Digital Fabrication","Advances in Robot Design and Intelligent Control","","","","10.1007/978-3-319-49058-8_60","Milica VujovićAleksandar RodićIlija Stevanović","2017","http://link.springer.com/chapter/10.1007/978-3-319-49058-8_60","Chapter"
"Minerals and Waste","Earth and Environmental Sciences Library","","","","10.1007/978-3-031-16135-3","Mario TribaudinoDaniel VollprechtAlessandro Pavese","2023","http://link.springer.com/book/10.1007/978-3-031-16135-3","Book"
"Women in Infrastructure","Women in Engineering and Science","","","","10.1007/978-3-030-92821-6","Peggy LayneJill S. Tietjen","2022","http://link.springer.com/book/10.1007/978-3-030-92821-6","Book"
"Building for the Future: Durable, Sustainable, Resilient","Lecture Notes in Civil Engineering","","","","10.1007/978-3-031-32511-3","Alper IlkiDerya ÇavuntYavuz Selim Çavunt","2023","http://link.springer.com/book/10.1007/978-3-031-32511-3","Book"
"Selection Management","Guidelines for Green Mine Construction and Management","","","","10.1007/978-981-19-9760-0_3","Yong WangSuping PengLiang Wang","2023","http://link.springer.com/chapter/10.1007/978-981-19-9760-0_3","Chapter"
"Karakuri Solutions and Industry 4.0","Handbook of Smart Materials, Technologies, and Devices","","","","10.1007/978-3-030-58675-1_124-1","Mariusz KostrzewskiWojciech Jerzy Nowak","2021","http://link.springer.com/referenceworkentry/10.1007/978-3-030-58675-1_124-1","ReferenceWorkEntry"
"Karakuri Solutions and Industry 4.0","Handbook of Smart Materials, Technologies, and Devices","","","","10.1007/978-3-030-84205-5_124","Mariusz KostrzewskiWojciech Jerzy Nowak","2022","http://link.springer.com/referenceworkentry/10.1007/978-3-030-84205-5_124","ReferenceWorkEntry"
"Innovative Technologies for Printing and Packaging","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-9024-3","Min XuLi YangLinghao ZhangShu Yan","2023","http://link.springer.com/book/10.1007/978-981-19-9024-3","Book"
"Design, User Experience, and Usability","Lecture Notes in Computer Science","","","","10.1007/978-3-031-35696-4","Aaron MarcusElizabeth RosenzweigMarcelo M. Soares","2023","http://link.springer.com/book/10.1007/978-3-031-35696-4","Book"
"Industry 4.0: Managing The Digital Transformation","Springer Series in Advanced Manufacturing","","","","10.1007/978-3-319-57870-5","Alp UstundagEmre Cevikcan","2018","http://link.springer.com/book/10.1007/978-3-319-57870-5","Book"
"Recent Advances in Materials and Manufacturing Technology","Lecture Notes in Mechanical Engineering","","","","10.1007/978-981-99-2921-4","Ramesh Kumar NayakMohan Kumar PradhanAnimesh MandalJ. Paulo Davim","2023","http://link.springer.com/book/10.1007/978-981-99-2921-4","Book"
"Proceedings of the 61st Conference of Metallurgists, COM 2022","","","","","10.1007/978-3-031-17425-4","","2023","http://link.springer.com/book/10.1007/978-3-031-17425-4","Book"
"Ludic, Co-design and Tools Supporting Smart Learning Ecosystems and Smart Education","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-16-3930-2","Prof. Óscar MealhaProf. Mihai DascaluProf. Tania Di Mascio","2022","http://link.springer.com/book/10.1007/978-981-16-3930-2","Book"
"Supply Chain Management Tools","Successful Management Strategies and Tools","","","","10.1007/978-3-030-77661-9_12","Marc Helmold","2021","http://link.springer.com/chapter/10.1007/978-3-030-77661-9_12","Chapter"
"Intelligent Robotics and Applications","Lecture Notes in Computer Science","","","","10.1007/978-981-99-6480-2","Huayong YangHonghai LiuJun ZouZhouping YinLianqing LiuGeng YangXiaoping OuyangZhiyong Wang","2023","http://link.springer.com/book/10.1007/978-981-99-6480-2","Book"
"Business Process Management Workshops","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-37453-2","Dr. Chiara Di FrancescomarinoRemco DijkmanUwe Zdun","2019","http://link.springer.com/book/10.1007/978-3-030-37453-2","Book"
"Handbook of the Anthropocene","","","","","10.1007/978-3-031-25910-4","Nathanaël WallenhorstChristoph Wulf","2023","http://link.springer.com/book/10.1007/978-3-031-25910-4","Book"
"Proceedings of MEACM 2020","Mechanisms and Machine Science","","","","10.1007/978-3-030-67958-3","Prof. Lifang ZhengProf. Chaoyang SunProf. Kheng-Lim Goh","2021","http://link.springer.com/book/10.1007/978-3-030-67958-3","Book"
"Emerging Research in Intelligent Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-96043-8","Dr. Miguel Botto-TobarHenry CruzAngela Díaz CadenaBenjamin Durakovic","2022","http://link.springer.com/book/10.1007/978-3-030-96043-8","Book"
"Cereal-Based Food Products","","","","","10.1007/978-3-031-40308-8","Manzoor Ahmad ShahKappat Valiyapeediyekkal SunoojShabir Ahmad Mir","2023","http://link.springer.com/book/10.1007/978-3-031-40308-8","Book"
"Advances in Computational Collective Intelligence","Communications in Computer and Information Science","","","","10.1007/978-3-030-88113-9","Krystian WojtkiewiczProf. Dr. Jan TreurDr. Elias PimenidisMarcin Maleszka","2021","http://link.springer.com/book/10.1007/978-3-030-88113-9","Book"
"Agricultural Cybernetics","Agriculture Automation and Control","","","","10.1007/978-3-030-72102-2","Yanbo HuangProf. Qin Zhang","2021","http://link.springer.com/book/10.1007/978-3-030-72102-2","Book"
"Cognitive Biological Sensors","Biological Transformation","","","","10.1007/978-3-662-59659-3_15","Albert Heuberger Prof.Randolf Hanke Prof.Claudia Eckert Prof.","2020","http://link.springer.com/chapter/10.1007/978-3-662-59659-3_15","Chapter"
"Multimedia Technologies in the Internet of Things Environment, Volume 3","Studies in Big Data","","","","10.1007/978-981-19-0924-5","Dr. Raghvendra KumarDr. Rohit SharmaDr. Prasant Kumar Pattnaik","2022","http://link.springer.com/book/10.1007/978-981-19-0924-5","Book"
"Successful Management Strategies and Tools","Management for Professionals","","","","10.1007/978-3-030-77661-9","Marc Helmold","2021","http://link.springer.com/book/10.1007/978-3-030-77661-9","Book"
"Designing an Automated Assembly Workplace in a Simulation Environment","Advances in Manufacturing III","","","","10.1007/978-3-030-99310-8_4","Kateryna KovbasiukMichal BalogKamil Židek","2022","http://link.springer.com/chapter/10.1007/978-3-030-99310-8_4","Chapter"
"Learning and Collaboration Technologies. Novel Technological Environments","Lecture Notes in Computer Science","","","","10.1007/978-3-031-05675-8","Panayiotis ZaphirisAndri Ioannou","2022","http://link.springer.com/book/10.1007/978-3-031-05675-8","Book"
"Renewable Energy Based Solutions","Lecture Notes in Energy","","","","10.1007/978-3-031-05125-8","Tanay Sıdkı UyarNader Javani","2022","http://link.springer.com/book/10.1007/978-3-031-05125-8","Book"
"The proceedings of the 16th Annual Conference of China Electrotechnical Society","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-1532-1","Prof. Jinghan HeProf. Yaohua LiProf. Qingxin YangProf. Xidong Liang","2022","http://link.springer.com/book/10.1007/978-981-19-1532-1","Book"
"Intelligent Sustainable Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-6369-7","Prof. Atulya K. NagarProf. Dharm Singh JatDr. Gabriela Marín-RaventósDr. Durgesh Kumar Mishra","2022","http://link.springer.com/book/10.1007/978-981-16-6369-7","Book"
"Tourist Health, Safety and Wellbeing in the New Normal","","","","","10.1007/978-981-16-5415-2","Dr. Jeff WilksDr. Donna PendergastProf. Peter A. LeggatDr. Damian Morgan","2021","http://link.springer.com/book/10.1007/978-981-16-5415-2","Book"
"Intelligent Communication, Control and Devices","Advances in Intelligent Systems and Computing","","","","10.1007/978-981-16-1510-8","Dr. Sushabhan ChoudhuryDr. R. GowriProf. Babu Sena PaulDr. Dinh-Thuan Do","2021","http://link.springer.com/book/10.1007/978-981-16-1510-8","Book"
"Powertrain Development with Artificial Intelligence","","","","","10.1007/978-3-662-63863-7","Dr. Aras Mirfendreski","2022","http://link.springer.com/book/10.1007/978-3-662-63863-7","Book"
"Universal Access in Human-Computer Interaction","Lecture Notes in Computer Science","","","","10.1007/978-3-031-35681-0","Margherita AntonaConstantine Stephanidis","2023","http://link.springer.com/book/10.1007/978-3-031-35681-0","Book"
"Forecasting Next Generation Manufacturing","Contributions to Management Science","","","","10.1007/978-3-031-07734-0","Frank T. PillerVerena NitschDirk LüttgensAlexander MertensSebastian PützMarc Van Dyck","2022","http://link.springer.com/book/10.1007/978-3-031-07734-0","Book"
"Complex Social Systems in Dynamic Environments","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-23856-7","Svetlana G. Maximova","2023","http://link.springer.com/book/10.1007/978-3-031-23856-7","Book"
"Handbook of Air Quality and Climate Change","","","","","10.1007/978-981-15-2760-9","Hajime AkimotoHiroshi Tanimoto","2023","http://link.springer.com/referencework/10.1007/978-981-15-2760-9","ReferenceWork"
"Recent Advances in Civil Engineering","Lecture Notes in Civil Engineering","","","","10.1007/978-981-19-0189-8","Dr. Pala Gireesh KumarProf. Kolluru V. L. SubramaniamProf. S. Moses SanthakumarDr. Neelima Satyam D.","2022","http://link.springer.com/book/10.1007/978-981-19-0189-8","Book"
"Optimization in Large Scale Problems","Springer Optimization and Its Applications","","","","10.1007/978-3-030-28565-4","Mahdi FathiMarzieh KhakifiroozPanos M. Pardalos","2019","http://link.springer.com/book/10.1007/978-3-030-28565-4","Book"
"Decision Analytics for Sustainable Development in Smart Society 5.0","Asset Analytics","","","","10.1007/978-981-19-1689-2","Dr. Vikram BaliDr. Vishal BhatnagarDr. Joan LuDr. Kakoli Banerjee","2022","http://link.springer.com/book/10.1007/978-981-19-1689-2","Book"
"Future Intelligence","Future of Business and Finance","","","","10.1007/978-3-031-36382-5","Tamás LandeszSangeeth VargheseKarine Sargsyan","2023","http://link.springer.com/book/10.1007/978-3-031-36382-5","Book"
"Job Disruption","AI Battle Royale","","","","10.1007/978-3-031-19278-4_6","Ashley Marc Recanati","2023","http://link.springer.com/chapter/10.1007/978-3-031-19278-4_6","Chapter"
"Contemporary Logistics in China","Current Chinese Economic Report Series","","","","10.1007/978-981-16-5580-7","Assoc. Prof. Zhilun JiaoDr. Xiaofan WuDr. Bing-lian LiuDr. Shao-ju LeeDr. Zhijuan Chen","2021","http://link.springer.com/book/10.1007/978-981-16-5580-7","Book"
"SARS-CoV-2 and Coronacrisis","","","","","10.1007/978-981-16-2605-0","Fr archpriest Evgeny I. LegachKonstantin S. Sharov","2021","http://link.springer.com/book/10.1007/978-981-16-2605-0","Book"
"Proceedings of the Fifteenth International Conference on Management Science and Engineering Management","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-030-79203-9","Prof. Jiuping XuDr. Fausto Pedro García MárquezProf. Mohamed Hag Ali HassanProf. Gheorghe DucaProf. Asaf HajiyevProf. Fulya Altiparmak","2021","http://link.springer.com/book/10.1007/978-3-030-79203-9","Book"
"Recent Trends in Transportation Infrastructure, Volume 1","Lecture Notes in Civil Engineering","","","","10.1007/978-981-99-3142-2","Rajat RastogiG. BharathDharamveer Singh","2023","http://link.springer.com/book/10.1007/978-981-99-3142-2","Book"
"Encyclopedia of Database Systems","","","","","10.1007/978-1-4614-8265-9","Ling LiuM. Tamer Özsu","2018","http://link.springer.com/referencework/10.1007/978-1-4614-8265-9","ReferenceWork"
"Recent Developments in Sustainable Infrastructure (ICRDSI-2020)—Structure and Construction Management","Lecture Notes in Civil Engineering","","","","10.1007/978-981-16-8433-3","B. B. DasProf. Christy P. GomezDr. Benu. G. Mohapatra","2022","http://link.springer.com/book/10.1007/978-981-16-8433-3","Book"
"Research Developments in Geotechnics, Geo-Informatics and Remote Sensing","Advances in Science, Technology & Innovation","","","","10.1007/978-3-030-72896-0","Hesham El-AskaryZeynal Abiddin ErgulerMurat KarakusHelder I. Chaminé","2022","http://link.springer.com/book/10.1007/978-3-030-72896-0","Book"
"Global Manufacturing Management","Management for Professionals","","","","10.1007/978-3-030-72740-6","Thomas FriedliGisela LanzaDominik Remling","2021","http://link.springer.com/book/10.1007/978-3-030-72740-6","Book"
"Islamic Sustainable Finance, Law and Innovation","Contributions to Management Science","","","","10.1007/978-3-031-27860-0","Nadia MansourLorenzo Mateo Bujosa Vadell","2023","http://link.springer.com/book/10.1007/978-3-031-27860-0","Book"
"Comprehensive Implementation Path of Intelligent Manufacturing","Intelligent Manufacturing","","","","10.1007/978-981-19-0167-6_5","Chao’an Lai","2022","http://link.springer.com/chapter/10.1007/978-981-19-0167-6_5","Chapter"
"ICSBE 2022","Lecture Notes in Civil Engineering","","","","10.1007/978-981-99-3471-3","Ranjith DissanayakePriyan MendisKolita WeerasekeraSudhira De SilvaShiromal FernandoChaminda KonthesinghaPradeep Gajanayake","2023","http://link.springer.com/book/10.1007/978-981-99-3471-3","Book"
"Polymer 3D Printing and 3D Copying Technology","Advanced and Intelligent Manufacturing in China","","","","10.1007/978-981-99-0101-2","Weimin YangRanran Jian","2023","http://link.springer.com/book/10.1007/978-981-99-0101-2","Book"
"Forming the Future","The Minerals, Metals & Materials Series","","","","10.1007/978-3-030-75381-8","Glenn DaehnJian CaoProf. Dr. Brad KinseyProf. Dr. Erman TekkayaAnupam VivekDr. Yoshinori Yoshida","2021","http://link.springer.com/book/10.1007/978-3-030-75381-8","Book"
"Simulation-based layout optimization for multi-station assembly lines","Journal of Intelligent Manufacturing","","33","2","10.1007/s10845-021-01853-5","Daria LeiberDavid EickholtAnh-Tu VuongGunther Reinhart","2022","http://link.springer.com/article/10.1007/s10845-021-01853-5","Article"
"Innovation in Agriculture with IoT and AI","Innovation, Technology, and Knowledge Management","","","","10.1007/978-3-030-88828-2","Prof. Suchismita SatapathyDebesh MishraArturo Realyvásquez Vargas","2022","http://link.springer.com/book/10.1007/978-3-030-88828-2","Book"
"Multiple Object Detection and Segmentation for Automated Removal in Additive Manufacturing with Service Robots","Intelligent Autonomous Systems 16","","","","10.1007/978-3-030-95892-3_23","Pascal BeckerAnastasiia MaklashevskikhArne RönnauRüdiger Dillmann","2022","http://link.springer.com/chapter/10.1007/978-3-030-95892-3_23","Chapter"
"Proceedings of 3rd International Conference on Machine Learning, Advances in Computing, Renewable Energy and Communication","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-2828-4","Anuradha TomarHasmat MalikPramod KumarAtif Iqbal","2022","http://link.springer.com/book/10.1007/978-981-19-2828-4","Book"
"Advances in Visual Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-031-47966-3","George BebisGolnaz GhiasiYi FangAndrei SharfYue DongChris WeaverZhicheng LeoJoseph J. LaViola Jr.Luv Kohli","2023","http://link.springer.com/book/10.1007/978-3-031-47966-3","Book"
"Advances in Asian Mechanism and Machine Science","Mechanisms and Machine Science","","","","10.1007/978-3-030-91892-7","Prof. Nguyen Van KhangProf. Nguyen Quang HoangProf. Marco Ceccarelli","2022","http://link.springer.com/book/10.1007/978-3-030-91892-7","Book"
"Progress in Artificial Intelligence","Lecture Notes in Computer Science","","","","10.1007/978-3-031-49011-8","Nuno MonizZita ValeJosé CascalhoCatarina SilvaRaquel Sebastião","2023","http://link.springer.com/book/10.1007/978-3-031-49011-8","Book"
"The Vision","The Self-Driving Company","","","","10.1007/978-3-662-68148-0_2","Florian Schnitzhofer","2023","http://link.springer.com/chapter/10.1007/978-3-662-68148-0_2","Chapter"
"Construction Technology of Large Diameter Underwater Shield Tunnel","Key Technologies for Tunnel Construction under Complex Geological and Environmental Conditions","","","","10.1007/978-981-16-5896-9","Jian ChenFanlu MinShouhui Wang","2022","http://link.springer.com/book/10.1007/978-981-16-5896-9","Book"
"Profound Changes Unseen in Centuries","Understanding China","","","","10.1007/978-981-16-7419-8","Wen WangProf. Jinjing JiaProf. Yushu LiuProf. Peng Wang","2022","http://link.springer.com/book/10.1007/978-981-16-7419-8","Book"
"AI and Politics","Political, Economic and Legal Effects of Artificial Intelligence","","","","10.1007/978-3-030-94736-1_10","Georgios I. Zekos","2022","http://link.springer.com/chapter/10.1007/978-3-030-94736-1_10","Chapter"
"SeLoC-ML: Semantic Low-Code Engineering for Machine Learning Applications in Industrial IoT","The Semantic Web – ISWC 2022","","","","10.1007/978-3-031-19433-7_48","Haoyu RenKirill DorofeevDarko AnicicYoussef HammadRoland EcklThomas A. Runkler","2022","http://link.springer.com/chapter/10.1007/978-3-031-19433-7_48","Chapter"
"Current Trends in Economics, Business and Sustainability","Contributions to Environmental Sciences & Innovative Business Technology","","","","10.1007/978-981-99-3366-2","J. Aloysius EdwardK. P. Jaheer MuktharEdwin Ramirez AsisK. Sivasubramanian","2023","http://link.springer.com/book/10.1007/978-981-99-3366-2","Book"
"Proceedings of the 21st Congress of the International Ergonomics Association (IEA 2021)","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-74614-8","Dr. Nancy L. BlackDr. W. Patrick NeumannDr. Ian Noy","2022","http://link.springer.com/book/10.1007/978-3-030-74614-8","Book"
"International Handbook on Education Development in the Asia-Pacific","","","","","10.1007/978-981-19-6887-7","Wing On LeePhillip BrownA. Lin GoodwinAndy Green","2023","http://link.springer.com/referencework/10.1007/978-981-19-6887-7","ReferenceWork"
"Advances in Mechanical Engineering and Material Science","Lecture Notes in Mechanical Engineering","","","","10.1007/978-981-19-0676-3","Dr. Ketul C. PopatDr. S. KanagarajDr. P. S. Rama SreekanthDr. V. M. Ravindra Kumar","2022","http://link.springer.com/book/10.1007/978-981-19-0676-3","Book"
"Satellite Monitoring of Water Resources in the Middle East","Springer Water","","","","10.1007/978-3-031-15549-9","Amin Shaban","2022","http://link.springer.com/book/10.1007/978-3-031-15549-9","Book"
"Advanced Network Technologies and Intelligent Computing","Communications in Computer and Information Science","","","","10.1007/978-3-030-96040-7","Isaac WoungangSanjay Kumar DhurandherKiran Kumar PattanaikProf. Dr. Anshul VermaPradeepika Verma","2022","http://link.springer.com/book/10.1007/978-3-030-96040-7","Book"
"Towards a Circular Economy","CSR, Sustainability, Ethics & Governance","","","","10.1007/978-3-030-94293-9","Aldo Alvarez-RiscoMarc A. RosenShyla Del-Aguila-Arcentales","2022","http://link.springer.com/book/10.1007/978-3-030-94293-9","Book"
"Fisheries and Aquaculture of the Temperate Himalayas","","","","","10.1007/978-981-19-8303-0","Pramod Kumar PandeyNityanand PandeyMd. Shahbaz Akhtar","2023","http://link.springer.com/book/10.1007/978-981-19-8303-0","Book"
"Advances in Computer Science for Engineering and Education IV","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-030-80472-5","Prof. Zhengbing HuProf. Sergey PetoukhovProf. Ivan DychkaProf. Matthew He","2021","http://link.springer.com/book/10.1007/978-3-030-80472-5","Book"
"International Business Development","","","","","10.1007/978-3-658-33221-1","Ludwig Martin","2021","http://link.springer.com/book/10.1007/978-3-658-33221-1","Book"
"Recent Trends in Mechatronics Towards Industry 4.0","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-33-4597-3","Dr. Ahmad Fakhri Ab. NasirDr. Ahmad Najmuddin IbrahimDr. Ismayuzri IshakDr. Nafrizuan Mat YahyaDr. Muhammad Aizzat ZakariaProf. Dr. Anwar P. P. Abdul Majeed","2022","http://link.springer.com/book/10.1007/978-981-33-4597-3","Book"
"Supply Chain Resilience","Springer Series in Supply Chain Management","","","","10.1007/978-3-030-95401-7","Sebastian KummerTina WakolbingerLydia NovoszelAlexander M. Geske","2022","http://link.springer.com/book/10.1007/978-3-030-95401-7","Book"
"Proceedings of the 4th International Conference on the Industry 4.0 Model for Advanced Manufacturing","Lecture Notes in Mechanical Engineering","","","","10.1007/978-3-030-18180-2","Prof. Laszlo MonostoriProf. Vidosav D. MajstorovicProf. S. Jack HuProf. Dragan Djurdjanovic","2019","http://link.springer.com/book/10.1007/978-3-030-18180-2","Book"
"Teacher Education in the Nordic Region","Evaluating Education: Normative Systems and Institutional Practices","","","","10.1007/978-3-031-26051-3","Eyvind Elstad","2023","http://link.springer.com/book/10.1007/978-3-031-26051-3","Book"
"Handbook of Security Science","","","","","10.1007/978-3-319-91875-4","Anthony J. Masys","2022","http://link.springer.com/referencework/10.1007/978-3-319-91875-4","ReferenceWork"
"Advances in Manufacturing III","Lecture Notes in Mechanical Engineering","","","","10.1007/978-3-031-00218-2","Adam HamrolMarta GrabowskaDamjan Maletič","2022","http://link.springer.com/book/10.1007/978-3-031-00218-2","Book"
"Architectural Graphics","Springer Series in Design and Innovation","","","","10.1007/978-3-031-04703-9","Prof. Manuel A. Ródenas-LópezProf. José Calvo-LópezMacarena Salcedo-Galera","2022","http://link.springer.com/book/10.1007/978-3-031-04703-9","Book"
"Design, User Experience, and Usability:  UX Research and Design","Lecture Notes in Computer Science","","","","10.1007/978-3-030-78221-4","Marcelo M. SoaresDr. Elizabeth RosenzweigDr. Aaron Marcus","2021","http://link.springer.com/book/10.1007/978-3-030-78221-4","Book"
"Data Spaces","","","","","10.1007/978-3-030-98636-0","Edward CurrySimon ScerriTuomo Tuikka","2022","http://link.springer.com/book/10.1007/978-3-030-98636-0","Book"
"Mobile Health (mHealth)","Future of Business and Finance","","","","10.1007/978-981-19-4230-3","Kota KodamaShintaro Sengoku","2022","http://link.springer.com/book/10.1007/978-981-19-4230-3","Book"
"Development of Intelligent Logistics in China","Contemporary Logistics in China","","","","10.1007/978-981-13-0071-4_9","Xiang Li","2018","http://link.springer.com/chapter/10.1007/978-981-13-0071-4_9","Chapter"
"Pigments, Extenders, and Particles in Surface Coatings and Plastics","","","","","10.1007/978-3-030-99083-1","Michael DieboldSteven De BackerPhilipp M. NiedenzuBrett R. HesterFrank A. C. Vanhecke","2022","http://link.springer.com/book/10.1007/978-3-030-99083-1","Book"
"Proceeding of the International Science and Technology Conference 'FarEastСon 2019'","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-15-2244-4","Denis B. SolovevProf. Viktor V. SavaleyProf. Alexander T. BekkerProf. Valery I. Petukhov","2020","http://link.springer.com/book/10.1007/978-981-15-2244-4","Book"
"Circularity in Textiles","Textile Science and Clothing Technology","","","","10.1007/978-3-031-49479-6","Syeda Rubab BatoolSheraz AhmadYasir NawabMuzzamal Hussain","2023","http://link.springer.com/book/10.1007/978-3-031-49479-6","Book"
"Intelligent Autonomous Systems 16","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-95892-3","Prof. Marcelo H. Ang JrDr. Hajime AsamaProf. Wei LinProf. Shaohui Foong","2022","http://link.springer.com/book/10.1007/978-3-030-95892-3","Book"
"Cold Chain Management","Springer Series in Advanced Manufacturing","","","","10.1007/978-3-031-09567-2","Myo Min AungYoon Seok Chang","2023","http://link.springer.com/book/10.1007/978-3-031-09567-2","Book"
"Pattern Recognition and Image Analysis","Lecture Notes in Computer Science","","","","10.1007/978-3-031-04881-4","Armando J. PinhoDr. Petia GeorgievaLuís F. TeixeiraJoan Andreu Sánchez","2022","http://link.springer.com/book/10.1007/978-3-031-04881-4","Book"
"How to Teach Digital Tools for Process Automation in Industrial Engineering Education","Advances in Human Factors and Systems Interaction","","","","10.1007/978-3-030-51369-6_10","Alexander NikolenkoFrederic MeyerSven Hinrichsen","2020","http://link.springer.com/chapter/10.1007/978-3-030-51369-6_10","Chapter"
"Arguments for Emerging Technologies Applications to Improve Manufacturing Warehouse Ergonomics","Sustainability and Innovation in Manufacturing Enterprises","","","","10.1007/978-981-16-7365-8_5","Anca MocanAlin GaureanuGyula SzabóBeata Mrugalska","2022","http://link.springer.com/chapter/10.1007/978-981-16-7365-8_5","Chapter"
